cluster1,cluster2,cluster3,cluster4
0.3422,0,0.6541,0.0037
0.3339,0,0.6607,0.0054
0,0.6589,0.2712,0.0699
0.0716,0.9018,0,0.0267
0.0546,0.9448,0.0006,0
0.0728,0.8959,0.0147,0.0166
0.0593,0.9302,0.0105,0
0.0331,0.9514,0.0009,0.0146
0.0353,0.0016,0.063,0.9001
0,0.9942,0,0.0058
0.0335,0.9357,0.0075,0.0234
0.0358,0,0.0953,0.8689
0.076,0,0.0551,0.8689
0.0409,0.0348,0.0727,0.8516
0.8871,0.0054,0.0006,0.107
0.1715,0.1077,0.1798,0.5409
0.3027,0.1233,0.3995,0.1745
0.0435,0.0033,0.0533,0.9
0.2837,0.0953,0.1863,0.4347
0.2061,0.5616,0.1568,0.0755
0,0,0.8751,0.1249
0.3331,0.0303,0.5203,0.1162
0.9317,0,0.0304,0.0378
0.131,0,0.0573,0.8118
0,0,0.8314,0.1686
0.1221,0.8779,0,0
0.0813,0.0015,0.0566,0.8607
0.092,0.0024,0.0721,0.8336
0.8394,0.0324,0.0172,0.111
0.1017,0.8957,0.0001,0.0026
0.0452,0.946,0.0088,0
0.0911,0.0133,0.0609,0.8347
0.0621,0.0563,0.0546,0.827
0.0682,0,0.1096,0.8223
0.1027,0.8703,0.0011,0.0259
0,0.2444,0.5837,0.172
0.0909,0.8707,0.032,0.0065
0.038,0.0031,0.0589,0.9
0,0,0.8514,0.1486
0,0.2533,0.579,0.1677
0.0537,0.0023,0.0544,0.8896
0.0381,0.0021,0.0593,0.9004
0.101,0.0016,0.0723,0.8251
0,1,0,0
0.0136,0.8831,0.0061,0.0971
0.8642,0.0282,0.0409,0.0667
0.5237,0.4538,0,0.0225
0,1,0,0
0.0534,0.012,0.0538,0.8808
0,1,0,0
0,0.995,0,0.005
0,1,0,0
0.0783,0.9156,0,0.0061
0,1,0,0
0,1,0,0
0.4534,0,0.0667,0.4799
0.0815,0.8914,0.0255,0.0016
0.0069,0.9734,0.0013,0.0184
0.0049,0.9951,0,0
0.0616,0.9367,0,0.0017
0,0.9922,0,0.0078
0.0522,0.947,0.0005,0.0003
0.0767,0.923,0,0.0003
0,0.9985,0,0.0015
0,0.9974,0.0026,0
0,0.0154,0.7239,0.2606
0.054,0.946,0,0
0,0.9622,0.0221,0.0157
0,0,0.8584,0.1416
0.0632,0.0018,0.095,0.8399
0.0452,0.9363,0.0162,0.0023
0,0.0003,0.8432,0.1565
0.0052,0,0.8502,0.1446
0,0.0142,0.7825,0.2032
0.8817,0.0334,0.0011,0.0838
0.3624,0.0164,0.6202,0.001
0.359,0.1111,0.5163,0.0136
0.8529,0,0.0747,0.0725
0.0322,0.0032,0.062,0.9026
0,0,0.8779,0.1221
0.3556,0,0.6407,0.0037
0.3585,0.0008,0.6171,0.0236
0,0.0637,0.7353,0.2011
0.5368,0.1758,0.1233,0.1641
0.0565,0.1176,0.1234,0.7025
0.9162,0,0.0016,0.0822
0,0.003,0.8659,0.1311
0.0693,0.0008,0.0571,0.8728
0.0447,0,0.078,0.8774
0.8583,0,0.025,0.1167
0.101,0.0017,0.053,0.8444
0.3602,0,0.6146,0.0251
0.7814,0.0719,0.0639,0.0828
0.0009,0,0.7962,0.2029
0.8768,0.025,0,0.0982
0.0697,0,0.1048,0.8255
0,0.9998,0,0.0002
0,1,0,0
0.0507,0.9375,0.0091,0.0027
0.0678,0.9297,0.001,0.0014
0,0.0557,0.7927,0.1516
0.131,0.8688,0,0.0002
0.0642,0.9351,0,0.0007
0,0.1241,0.7263,0.1496
0.1165,0.7867,0.0045,0.0923
0,1,0,0
0,0.1484,0.6556,0.1959
0.099,0.001,0.0725,0.8274
0,0,0.8375,0.1625
0.8301,0.002,0.0315,0.1365
0.08,0.0022,0.0586,0.8593
0.0574,0.9415,0.0002,0.0009
0.019,0.8031,0.1438,0.0342
0.0449,0.9143,0.0407,0.0002
0.0236,0.9425,0.0072,0.0267
0.0654,0.9121,0.0008,0.0217
0.0635,0.9335,0.0017,0.0013
0.1079,0.0026,0.1003,0.7892
0.8808,0.0112,0.0444,0.0636
0.0686,0.001,0.0583,0.8721
0.0333,0.015,0.078,0.8737
0.8818,0,0.054,0.0642
0,0,0.8824,0.1176
0,0,0.8699,0.1301
0.0617,0.0019,0.0562,0.8802
0.0401,0.0017,0.0546,0.9035
0.034,0,0.066,0.9
0.0014,0,0.8191,0.1795
0,0.001,0.7989,0.2001
0.0423,0.0005,0.0587,0.8985
0.9507,0,0.0043,0.0451
0.0622,0.0261,0.1016,0.81
0,0,0.8612,0.1388
0.0558,0.0001,0.0628,0.8812
0.0929,0.8922,0.0107,0.0043
0.1007,0,0.7452,0.1541
0.0213,0.8872,0.012,0.0795
0,0,0.8414,0.1586
0.0482,0.0025,0.0575,0.8919
0.0368,0.0018,0.0608,0.9005
0,0,0.8382,0.1618
0.0384,0,0.0898,0.8718
0.077,0.2064,0.1513,0.5653
0,0,0.8185,0.1815
0.0735,0.0048,0.0831,0.8386
0,0.9969,0,0.0031
0,0.2476,0.6285,0.1239
0,0.9796,0.0184,0.002
0.0298,0.9446,0.0256,0
0.0484,0.9353,0.0019,0.0145
0.0564,0.9321,0.0078,0.0038
0.0747,0.8881,0.0035,0.0337
0.0386,0.8811,0.0053,0.075
0.0678,0.9303,0,0.0019
0,0,0.8699,0.1301
0.0678,0.9169,0.0124,0.0029
0,0.2184,0.6486,0.1331
0.0319,0.9681,0,0
0,1,0,0
0.0427,0,0.0547,0.9026
0,1,0,0
0,1,0,0
0.041,0.9163,0.017,0.0257
0.0794,0.8989,0.0217,0
0.0052,0.9735,0,0.0213
0,1,0,0
0.0653,0.9297,0,0.005
0.0356,0,0.0631,0.9013
0.0662,0.9109,0,0.023
0,1,0,0
0.075,0.8785,0.0286,0.0179
0.0441,0.9552,0,0.0007
0,0.999,0,0.001
0.0376,0.0015,0.0864,0.8746
0,0.9984,0,0.0016
0.0649,0.9351,0,0
0.0995,0.874,0.007,0.0195
0.0714,0.9285,0,0.0001
0.052,0,0.0541,0.894
0.1991,0.795,0.0059,0
