"","region","depthZone","lat","lon","depthM","BO22_calcite","BO22_damean","BO22_curvelmean_ss","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM9","MEM10"
"1","BLZ","Mesophotic",16.755383,-87.78125,34.7066666666667,0.0339829996228218,0.0890000015497208,0.235098332166672,0.870617158215804,-1.72439942178932,1.15485409711888,-0.598297701201137,-0.43056646100778,-0.0726557944810589,-0.448939227815618,0.279745701750408,0.086108191237262
"2","BLZ","Mesophotic",16.76895,-88.073883,34.38,0.000150000007124618,0.0410000011324883,0.109946936368942,0.870618148167824,-1.72440421308268,1.15484637815415,-0.598287374753149,-0.430489917401373,-0.0727084461404923,-0.448516943810071,0.279337040162935,0.0858784304003798
"3","BLZ","Mesophotic",16.776067,-88.07465,33.58,0.000150000007124618,0.0410000011324883,0.109946936368942,0.870618005737636,-1.72440374478767,1.15484588336794,-0.598286894766461,-0.430488672106672,-0.072708895320327,-0.448511317647925,0.27933177246371,0.0858756304828325
"4","BLZ","Mesophotic",16.832433,-88.074017,34.825,0.000150000007124618,0.0410000011324883,0.109946936368942,0.921091230764481,-1.88889530085199,0.828677956115165,-0.355355297961415,0.58921125850245,-0.576444715013216,1.6987250227766,-1.29594452891565,-0.596448565510642
"5","BLZ","Shallow",16.755383,-87.78125,17.053488372093,0.0339829996228218,0.0890000015497208,0.235098332166672,0.870617158215802,-1.72439942178932,1.15485409711888,-0.598297701201136,-0.430566461007779,-0.0726557944810599,-0.448939227815617,0.279745701750406,0.0861081912372623
"6","BLZ","Shallow",16.76895,-88.073883,16.2928571428571,0.000150000007124618,0.0410000011324883,0.109946936368942,0.870618148167823,-1.72440421308268,1.15484637815414,-0.598287374753156,-0.430489917401381,-0.072708446140488,-0.448516943810073,0.279337040162925,0.0858784304003897
"7","BLZ","Shallow",16.776067,-88.07465,17.6642857142857,0.000150000007124618,0.0410000011324883,0.109946936368942,0.870618005737635,-1.72440374478767,1.15484588336793,-0.598286894766452,-0.430488672106673,-0.0727088953203278,-0.448511317647922,0.279331772463708,0.0858756304828473
"8","BLZ","Shallow",16.832433,-88.074017,18.4,0.000150000007124618,0.0410000011324883,0.109946936368942,0.92109123076448,-1.88889530085199,0.828677956115165,-0.355355297961412,0.589211258502449,-0.576444715013212,1.6987250227766,-1.29594452891564,-0.59644856551064
"9","CUBA","Mesophotic",22.01502,-84.99913,57.65,0.000163999997312203,0.0399999991059303,0.317660063505173,-0.641919948973489,-0.447692821129047,-1.73568217380342,0.599945126759583,-0.961536595894614,-3.17290627855396,0.393267465473253,0.850393495073394,-2.70057225477865
"10","CUBA","Shallow",19.9255,-76.40367,4,0.000216999993426725,0.034000001847744,0.343317329883575,0.385313126145482,-0.222295289434096,0.327005411657752,3.06396001460303,-1.10329840381407,2.8035288681298,1.00846971715749,0.299039829180479,-0.886707738174853
"11","CUBA","Shallow",20.80792,-78.9555,4,0.000480999995488673,0.0520000010728836,0.129631817340851,-0.666009740799512,0.113535989154572,0.420810681477866,2.61562792705267,-2.73724439228243,-1.69032719877232,1.05026031241954,0.54616718519531,2.27709321402184
